bigg_id;KeggID
gmhep7p;C07836
gmhep1p;C07838
HC02194;C07880
3mb;C08262
djenk;C08275
mtpp;C08276
3mtp;C08276
C08276;C08276
subeac;C08278
doco13ac;C08316
C14826;C08368
anxan;C08579
dcaro;C08586
zxan;C08590
bcryptox;C08591
echin;C08592
lut;C08601
neoxan;C08606
vioxan;C08614
menecyart;C08830
C09209;C09209
so2;C09306
thfglu;C09332
C09640;C09640
C09642;C09642
bzsucc;C09816
bzsuccoa;C09817
phitcoa;C09818
hmpscoa;C09819
6occhcoa;C09821
prolb;C10172
HC01797;C10905
26dmani;C11004
4hbutcoa;C11062
dmso;C11143
mso3;C11145
HC02197;C11301
C11304;C11304
leuleu;C11332
2hchd;C11354
4adcho;C11355
CE4936;C11361
q10;C11378
2me4p;C11434
4c2me;C11435
2p4c2me;C11436
dxyl5p;C11437
2mecdp;C11453
3hpppn;C11457
arab__L;C11476
sl__L;C11499
mergtrol;C11508
aconm;C11514
udpsq;C11521
ppmi12346p;C11526
copre3;C11539
copre4;C11540
copre5;C11541
copre6;C11542
codhpre6;C11543
manglyc;C11544
codscl8x;C11545
copre8;C11545
pail34p_cho;C11554
pail35p_cho;C11556
pail5p_cho;C11557
C11695;C11695
egly;C11735
h2mb4p;C11811
5hiu;C11821
C11821;C11821
2amsa;C11822
hmppp9;C11829
omppp9;C11830
dvpchlld;C11831
dvchlda;C11832
dhptd;C11838
dtdp4d6dg;C11907
dhcrm_cho;C12126
psphings;C12144
thrp;C12147
mcbts;C12216
5houdic;C12248
houdic;C12248
iamac;C12296
pheac;C12303
dcal;C12307
3hcinnm;C12621
cenchddd;C12622
dhcinnm;C12623
hkntd;C12624
tega;C12673
dmtphllqne;C13309
3ophb_5;C13425
HC01842;C13482
4hphac;C13636
debrisoquine;C13650
CE2211;C13712
HC02210;C13802
C13856;C13856
3hadpcoa;C14145
dtocophe;C14151
bvite;C14152
sulfac;C14179
sula;C14179
hmgth;C14180
hpal;C14390
3hmop;C14463
ibutoh;C14710
CE2084;C14732
13Shocdcy1829Z11Ea;C14762
13oocdcy1829Z11Ea;C14765
C14768;C14768
C14769;C14769
C14770;C14770
C14771;C14771
fe2;C14818
fe3;C14819
C14825;C14825
CE2047;C14828
C14849;C14849
C14851;C14851
3dhgulnp;C14899
crn__D;C15025
indaccoa;C15489
dhretinol;C15492
CE1617;C15493
xol25oh;C15519
db4p;C15556
HC02193;C15557
CE1589;C15560
purine;C15587
dhmtp;C15606
CE5966;C15647
dkmpp;C15650
hkmpp;C15651
2h3k5m;C15651
5caiz;C15667
CE1944;C15668
hemeA;C15670
hemeO;C15672
ggbutal;C15700
gg4abut;C15767
mfecostrl;C15776
epist;C15777
dhgly;C15809
CE5586;C15853
CE2917;C15855
CE5797;C15868
2m6phol;C15882
23dmphol;C15883
CE2314;C15915
galctn__L;C15930
3mhtpp;C15974
2mhop;C15976
2mhob;C15978
crpxan;C15981
preq0;C15996
metsox_R__L;C15998
CE2891;C16135
udpLa4n;C16153
udpLa4fn;C16154
udpLa4o;C16155
lnlncacoa;C16162
ascb6p;C16186
CE6448;C16200
3ohodcoa;C16216
CE2248;C16217
od2coa;C16218
3hoctaACP;C16220
toctd2eACP;C16221
CE5656;C16238
lipoamp;C16238
codscl5a;C16242
codscl5b;C16243
codscl7;C16244
ecaro;C16276
frulys;C16488
2sephchc;C16519
docoscoa;C16528
CE5151;C16530
chldb;C16541
3hlido;C16560
meglyxyl;C16561
na15dap;C16565
hacon_T;C16579
Rh2cit;C16583
7ohp;C16590
7mhp;C16593
7mht;C16594
tih2cit;C16597
Rh3cit;C16598
citalo;C16607
dmcital;C16608
ddmcital;C16609
citalppa;C16610
citalald;C16612
6txan5mp;C16618
6tgsnmp;C16619
56dh5flura;C16630
aflburppa;C16631
aflbala;C16632
5flurimp;C16634
degly;C16647
preq1;C16675
CE2953;C16680
acmum6p;C16698
man6pglyc;C16699
34dhbald;C16700
hlys;C16741
mocdca;C16794
sucald;C16835
CE5643;C16845
dkfp;C16848
HC02195;C16868
fut;C16999
dhxfut;C17010
cdhxfut;C17017
trdca;C17076
CE3038;C17335
4hba;C17467
q6;C17568
q8;C17569
hpa;C17714
udca;C17715
CE5276;C17755
CE5665;C17756
CE1562;C17938
56iqcrbxlt;C17938
phphbda;C18021
acgal1p;C18060
pyphphbda;C18064
5pg35pg;C18076
allul6p;C18096
3aap;C18170
cspmd;C18172
CE7110;C18175
CE7090;C18177
epo;C18200
nfmalm;C18232
mh4spt;C18799
h4spt;C18802
dgslnt;C18870
f420_1;C19152
f420_0;C19153
ddhrb;C19154
lppg;C19155
2plac__L;C19156
CN0016;C19174
CE0737;C19440
CN0020;C19488
ni2;C19609
mn2;C19610
CE4633;C19697
2tpr3dpcoa;C19771
cdp_inost;C19794
tcb;C19806
pimACP;C19845
pmeACP;C19846
mptamp;C19848
mocogdp;C19928
3oxdhscoa;C19945
2oxpaccoa;C19975
CE3087;C20157
uracp;C20231
cph4;C20239
cdg;C20248
poaac;C20249
3amac;C20253
decdpr_tb;C20352
decda_tb;C20370
hgmeACP;C20373
egmeACP;C20374
gmeACP;C20375
hpmeACP;C20377
epmeACP;C20378
btnso;C20386
CE1243;C20388
dtdp4aaddg;C20415
unagamu;C20497
h2acon_C;C20581
h3acon_C;C20582
CE2122;C20635
tungs;C20679
ctbtcoa;C20748
bbtcoa;C20749
crncoa;C20750
ivcrn;C20826
CE2028;C20827
LalaDglu;C20957
LalaLglu;C20958
tres;C20985
thmnp;C21007
ahop;C21117
chtbs6p;C21152
chit6p;C21152
enlipa;C21173
mththf;C21382
1agpe180;C21484
