bigg_id;KeggID
hgentis;C00544
mthgxl;C00546
nrpphr;C00547
pac;C00548
tartr__M;C00552
4abutn;C00555
bzalc;C00556
tagur;C00558
dad_2;C00559
tma;C00565
4abz;C00568
cdpea;C00570
camp;C00575
betald;C00576
glyald;C00577
dhlam;C00579
dms;C00580
phaccoa;C00582
2dglc;C00586
cholp;C00588
confrl;C00590
2saa;C00593
pacald;C00601
urdglyc;C00603
3sala;C00606
N1aspmd;C00612
udpgalur;C00617
3dhguln;C00618
r1p;C00620
doldp;C00621
acglu;C00624
pdx5p;C00627
HC00460;C00628
ibcoa;C00630
2pg;C00631
3hanthrn;C00632
4hbald;C00633
man1p;C00636
id3acald;C00637
3hacoa;C00640
4hoxpac;C00642
mnl1p;C00644
acmana;C00645
pyam5p;C00647
Dara14lac;C00652
xmp;C00655
adfdRD;C00662
g1p_B;C00663
5forthf;C00664
f26bp;C00665
26dap_LL;C00666
g6p_A;C00668
glucys;C00669
g3pc;C00670
3mop;C00671
2dr1p;C00672
2dr5p;C00673
5dh4dglc;C00679
5d4dglcr;C00679
26dap__M;C00680
1ag3p_SC;C00681
2hmcnsad;C00682
mmcoa__S;C00683
dtdp4d6dm;C00688
tre6p;C00689
2ins;C00691
uamag;C00692
cholate;C00695
n2;C00697
cl;C00698
xtp;C00700
hg2;C00703
o2s;C00704
dcdp;C00705
i;C00708
ocdcea;C00712
glyb;C00719
lipoate;C00725
lipt;C00725
lys__D;C00739
ser__D;C00740
diact;C00741
sheme;C00748
sprm;C00750
sql;C00751
vanln;C00755
idon__L;C00770
retn;C00777
rhodopsin;C00778
srtn;C00780
urcan;C00785
trnatyr;C00787
creat;C00791
arg__D;C00792
cys__D;C00793
sbt__D;C00794
tag__D;C00795
forcoa;C00798
guln__L;C00800
oxur;C00802
pta;C00803
salc;C00805
actn__R;C00810
T4hcinnm;C00811
citm;C00815
altrn;C00817
glcr;C00818
Largn;C00826
laccoa;C00827
ptth;C00831
sphgn;C00836
dtdpglu;C00842
3oxoadp;C00846
cbl1;C00853
met__D;C00855
dnac;C00856
dnad;C00857
ga1_cho;C00859
histd;C00860
rml;C00861
pnto__R;C00864
f420_2;C00876
b2coa;C00877
galctr__D;C00879
galct__D;C00879
galctn__D;C00880
dcyt;C00881
dpcoa;C00882
galman;C00883
hcarn;C00884
HC00576;C00884
ichor;C00885
n2o;C00887
ptcoa;C00888
prpncoa;C00894
pp2coa;C00894
tartr__L;C00898
fruur;C00905
56dthm;C00906
leuktrA4;C00909
cm;C00918
chols;C00919
dhpt;C00921
focytc;C00924
ppbng;C00931
udparab;C00935
lald__D;C00937
HC00591;C00940
35cgmp;C00942
3dhq;C00944
estradiol;C00951
ind3ac;C00954
ind3eth;C00955
L2aadp;C00956
mercppyr;C00957
HC02204;C00959
gal_bD;C00962
2dhp;C00966
35cdamp;C00968
3hppnl;C00969
acser;C00979
2pglyc;C00988
ghb;C00989
5apentam;C00990
alaala;C00993
ficytb5;C00996
focytb5;C00999
pser__L;C01005
ribflvRD;C01007
rbflvrd;C01007
allphn;C01010
3hpp;C01013
6hnac;C01020
hmbil;C01024
dmgly;C01026
n8aspmd;C01029
Sfglutth;C01031
2mbcoa;C01033
4gudbutn;C01035
4mlacac;C01036
dann;C01037
gullac;C01040
Nacasp;C01042
Nforglu;C01045
uamr;C01050
uppg3;C01051
Ssq23epx;C01054
dhpyr;C01059
4fumacac;C01061
5dglcn;C01062
pmcoa;C01063
achms;C01077
pppg9;C01079
thmmp;C01081
tre;C01083
bhb;C01089
8aonn;C01092
f1p;C01094
sbt6p;C01096
tag6p__D;C01097
fc1p;C01099
hisp;C01100
ru5p__L;C01101
phom;C01102
orot5p;C01103
tmao;C01104
5pmev;C01107
5a2opntn;C01110
ara5p;C01112
suchms;C01118
dttOX;C01119
sph1p;C01120
4h2oglt;C01127
rml1p;C01131
acgal;C01132
pan4p;C01134
HC00682;C01136
adhlam;C01136
ametam;C01137
36dahx;C01142
5dpmev;C01143
3hbcoa;C01144
3hbycoa;C01144
2h3oppan;C01146
hop;C01146
2h3opp;C01146
r15bp;C01151
NPmehis;C01152
4hpro_LT;C01157
23dpg;C01159
34dhpacet;C01161
34dhpha;C01161
CCbuttc;C01163
glu5sa;C01165
HC00695;C01169
sdhlam;C01169
uacmam;C01170
g6p_B;C01172
mi1p__D;C01177
34hpp;C01179
2kmb;C01180
4met2obut;C01180
gbbtn;C01181
4tmeabutn;C01181
rb15bp;C01182
nicrnt;C01185
3hmp;C01188
gluside_cho;C01190
pail_cho;C01194
34dhcinm;C01197
minohp;C01204
inoshp;C01204
3aib;C01205
malACP;C01209
HC00718;C01210
pcollg5hlys;C01211
uama;C01212
mmcoa__R;C01213
2dh3dgal;C01216
h4mpt;C01217
6p2dhglcn;C01218
cdp4dh6doglc;C01219
gdpddman;C01222
g3pi;C01225
dhea;C01227
ppgpp;C01228
hexdp;C01230
g3pe;C01233
1acpc;C01234
1Dgali;C01235
6pgl;C01236
C01241;C01241
alpro;C01242
acg5sa;C01250
6ax6ax;C01255
ap4a;C01260
gp4g;C01261
ans;C01262
imacp;C01267
5apru;C01268
3psme;C01269
3haACP;C01271
pail4p_cho;C01277
4cml;C01278
4ahmmp;C01279
2dh3dgal6p;C01286
acgpail_hs;C01288
unaga;C01289
6hmhpt;C01300
2cpr5p;C01302
25drapp;C01304
core3;C01306
na1;C01330
xdp;C01337
didp;C01344
ditp;C01345
dudp;C01346
fadh2;C01352
nh4oh;C01358
pqqh2;C01359
3amp;C01367
3ump;C01368
iodine;C01382
male;C01384
phytol;C01389
CE5853;C01392
btal;C01412
cd2;C01413
cynt;C01417
cgly;C01419
ga;C01424
ch4;C01438
oxam;C01444
salcn;C01451
p_tol;C01454
tol;C01455
4crsol;C01468
aso4;C01478
all__D;C01487
fer;C01494
lyx__L;C01508
seln;C01528
ocdca;C01530
octal;C01545
alltn;C01551
bilea;C01558
cbm;C01563
hxa;C01585
bgly;C01586
lnlc;C01595
malm;C01596
nona;C01601
C01601;C01601
pur;C01610
stys;C01613
stchs;C01613
xylb;C01630
trnaala;C01635
trnaarg;C01636
trnaasn;C01637
trnaasp;C01638
trnacys;C01639
trnagln;C01640
trnaglu;C01641
trnagly;C01642
trnahis;C01643
trnaile;C01644
trnaleu;C01645
trnalys;C01646
trnamet;C01647
trnaphe;C01648
trnapro;C01649
trnaser;C01650
trnathr;C01651
trnatrp;C01652
trnaval;C01653
aa;C01659
doxrbcn;C01661
15dap;C01672
cat;C01673
chitob;C01674
HC00822;C01674
cysam;C01678
nop;C01682
ergst;C01694
galt;C01697
fcl__L;C01721
HC00832;C01721
sbt__L;C01722
lanost;C01724
nebari;C01736
pala;C01742
tcynt;C01755
6mpur;C01756
xtsn;C01762
cdpabeq;C01788
drib;C01801
ddcacoa;C01832
lpp;C01834
malttr;C01835
C01836;C01836
ocdcal;C01838
2ppoh;C01845
fmnh2;C01847
tton;C01861
5oxpro;C01879
aces;C01883
aact;C01888
cyart;C01902
abt__D;C01904
dtbt;C01909
lystrna;C01931
malthx;C01936
obfool;C01943
occoa;C01944
ptdcal;C01948
prgnlone;C01953
thcys;C01962
ach;C01996
maltttr;C02013
glygly;C02037
glp;C02038
leutrna;C02047
lmn2;C02048
lnlccoa;C02050
lpro;C02051
phllqne;C02059
Sptmyn;C02078
tet;C02084
thiog;C02086
caro;C02094
tartr__D;C02107
retinal_11_cis;C02110
n2ppn;C02116
acmalt;C02130
cyeuol;C02141
C02147;C02147
glyleu;C02155
gly_leu__L;C02155
argtrna;C02163
leuktrC4;C02166
HC00900;C02170
mmal;C02170
mm;C02170
pcollglys;C02188
ppp9;C02191
txa2;C02198
ugam;C02200
2amac;C02218
amuco;C02220
2mbald;C02223
2mcit;C02225
citac;C02226
oxadpcoa;C02232
apocytc;C02248
xylnact__D;C02266
ddcal;C02278
glntrna;C02282
cyst__L;C02291
HC02216;C02314
protdt;C02315
2hxmp;C02323
2hymeph;C02323
vaccoa;C02331
fru_B;C02336
acon_T;C02341
23camp;C02353
23ccmp;C02354
23cump;C02355
C02356;C02356
5mcsn;C02376
6ax;C02378
glytrna;C02412
Lglyald;C02426
mettrna;C02430
C02442;C02442
pt2coa;C02451
perillyl;C02452
13ppd;C02457
dscl;C02463
shcl;C02463
upp3;C02469
C02470;C02470
avite1;C02477
ccmuac;C02480
gtocophe;C02483
2hmc;C02501
3c3hmp;C02504
pad;C02505
HC00955;C02512
fumpyr;C02514
butpi;C02527
C02528;C02528
xolest_cho;C02530
xolest2_cho;C02530
pser__D;C02532
sertrna;C02553
valtrna;C02554
N1sprm;C02567
acrn;C02571
protds;C02582
retpalm;C02588
suc6p;C02591
HC02192;C02592
tdcoa;C02593
2hog;C02630
2ippm;C02631
ibt;C02632
3dhsk;C02637
cala;C02642
gdbtal;C02647
acglc__D;C02655
pime;C02656
conialdh;C02666
glcurn;C02670
iad;C02693
Lfmkynr;C02700
protrna;C02702
C02712;C02712
acmum;C02713
aprut;C02714
nmptrc;C02723
sucbz;C02730
pphos;C02734
ps_cho;C02737
prbatp;C02739
prbamp;C02741
C02744;C02744
fldrd;C02745
25dkglcn;C02780
2dglcn;C02782
3pop;C02798
im4ac;C02835
imzac;C02835
tyrtrna;C02839
c4crn;C02862
fldox;C02869
ppap;C02876
pchlld;C02880
12ppd__R;C02912
12ppd__S;C02917
1mncam;C02918
3mcat;C02923
3dsphgn;C02934
ind3acnl;C02938
ivcoa;C02939
4aabutn;C02946
4hbzcoa;C02949
6apa;C02954
6ampenc;C02954
crmp_cho;C02960
all6p;C02962
dna5mtc;C02967
dhlpro;C02972
glyc2p;C02979
Nmtrp;C02983
asptrna;C02984
fuc1p__L;C02985
glutrna;C02987
histrna;C02988
metsox_S__L;C02989
metox;C02989
thrtrna;C02992
malt6p;C02995
apep;C03011
npthld;C03012
thmtp;C03028
tfenfe2;C03029
2ohed;C03063
3mb2coa;C03069
4gudbd;C03078
4hglu;C03079
4pasp;C03082
5mtr;C03089
pram;C03090
dmbzid;C03114
cystrna;C03125
iletrna;C03127
fmet;C03145
rnam;C03150
sbzcoa;C03160
Pald;C03167
mmet;C03172
skm5p;C03175
tfenfe3;C03179
glyc1p;C03189
appl;C03194
S2hglut;C03196
ak2g_hs;C03201
ak2g_cho;C03201
dd2coa;C03221
trans_dd2coa;C03221
hLkynr;C03227
3mgcoa;C03231
3php;C03232
6a2ohxnt;C03239
CE2516;C03242
cpppg3;C03263
CE5456;C03264
f2p;C03267
gbside_cho;C03272
oxptn;C03273
g3pg;C03274
24dab;C03283
glu5p;C03287
xu5p__L;C03291
fmettrna;C03294
sucarg;C03296
dtdprmn;C03319
23dhdp;C03340
2maacoa;C03344
2mb2coa;C03345
HC01104;C03360
pholys;C03366
adhap_hs;C03372
4per;C03393
23dappa;C03401
asntrna;C03402
C03405;C03405
argsuc;C03406
HC01115;C03410
C03413;C03413
sucorn;C03415
prephytedp;C03427
psqldp;C03428
lgt__S;C03451
oxalc;C03453
retpalm_11_cis;C03455
oxglyc;C03459
2mp2coa;C03460
5fthf;C03479
4ppan;C03492
3ig3p;C03506
2aobut;C03508
phetrna;C03511
trptrna;C03512
mppp9;C03516
rhcys;C03539
mi4p__D;C03546
2ameph;C03557
com;C03576
C03577;C03577
3AStrmyn;C03580
5odhf2a;C03586
4h2opntn;C03589
galogs;C03611
spc_cho;C03640
dhna;C03657
34hpl;C03672
4izp;C03680
C03681;C03681
6pthp;C03684
cmpglna;C03691
C03693;C03693
akdhap_hs;C03715
quln;C03722
udpgalfur;C03733
r5p;C03736
glu1sa;C03741
dopa;C03758
4hoxpacd;C03765
5g2oxpt;C03771
tagdp__D;C03785
tmlys;C03793
dcamp;C03794
am6sa;C03824
gar;C03838
zymstnl;C03845
CE2209;C03852
dolmanp;C03862
tglp;C03881
pgp_EC;C03892
B_ara1p;C03906
1pyr5c;C03912
mcom;C03920
3ddgc;C03926
acACP;C03939
C03958;C03958
thdp;C03972
HC02191;C03990
hacon_C;C04002
b124tc;C04002
mi3p__D;C04006
23dhba;C04030
34dhpac;C04043
dhpppn;C04044
3g12dgr_SA2;C04046
C04051;C04051
5cohe;C04052
5dh4dglcn;C04053
ap5a;C04058
L2aadp6sa;C04076
ptcys;C04079
HC01231;C04079
1pipdn2c;C04092
mucl;C04105
ctbt;C04114
ckdo;C04121
applp;C04122
acg5p;C04133
octp;C04137
hpglu;C04144
octdp;C04146
23ddhb;C04171
3hmoa;C04181
5cmhm;C04186
5mdr1p;C04188
23dhbzs;C04204
hepdp;C04216
pendp;C04217
2mcacn;C04225
3c4mop;C04236
HC01254;C04244
but2eACP;C04246
gpail_hs;C04248
gpail_cho;C04248
acgam1p;C04256
acmanap;C04257
23dhmb;C04272
1p3h5c;C04281
dkdi;C04287
4mhetz;C04294
C04295;C04295
pran;C04302
ptd2meeta_SC;C04308
C04308;C04308
ak2lgchol_hs;C04317
4mpetz;C04327
dmlz;C04332
dtdp4addg;C04346
4ppcys;C04352
ahandrostan;C04373
fgam;C04376
Tn_antigen;C04387
n6all26d;C04390
3hmbcoa;C04405
cmusa;C04409
3c2hmp;C04411
cbtnCCP;C04419
sl26da;C04421
2mpdhl;C04424
amob;C04425
2ddg6p;C04442
5aprbu;C04454
sl2a6o;C04462
kdo8p;C04478
hkndd;C04479
dchac;C04483
mhpglu;C04489
gdptp;C04494
naglc2p;C04500
decdp;C04509
2pcpgc;C04524
fecost;C04525
cellb6p;C04534
mppp9om;C04536
chito2pdol;C04537
pail3p_cho;C04549
dheas;C04555
dtpcudcpp;C04574
23doguln;C04575
mi12356p;C04579
5mdru1p;C04582
micit;C04593
3hbutACP;C04618
3hdecACP;C04619
3hoctACP;C04620
cob;C04628
uaccg;C04631
3hpalmACP;C04633
pail45p_cho;C04637
5cmhmsa;C04642
6tins5mp;C04646
u23ga;C04652
eig3p;C04666
aicar;C04677
HC02202;C04685
HC02206;C04686
3hmrsACP;C04688
2dda7p;C04691
cmaphis;C04692
uAgl;C04700
uAgla;C04702
13Shpocdcy1829Z11Ea;C04717
4r5au;C04732
fprica;C04734
thcrm_cho;C04737
u3aga;C04738
T_antigen;C04750
5aizc;C04751
2mahmp;C04752
5prdmbz;C04778
C04805;C04805
6hmhptpp;C04807
25aics;C04823
lipidX;C04824
l2xser;C04825
C04843;C04843
acglcgalgluside_cho;C04845
C04849;C04849
uaGgla;C04851
dhnpt;C04874
HC01361;C04874
ugmda;C04882
ahdt;C04895
prfp;C04896
galacglcgalgluside_cho;C04910
prlp;C04916
core4;C04917
lipidA;C04919
gal14acglcgalgluside_cho;C04922
lipidAds;C04932
acngal14acglcgalgluside_cho;C04936
novbcn;C05080
3uib;C05100
4mzym;C05103
2mbdhl;C05118
HC01376;C05118
3mbdhl;C05119
HC01377;C05119
tchola;C05122
isetac;C05123
istnt;C05123
2ahethmpp;C05125
mhista;C05127
im4act;C05130
imzacd;C05130
estriol;C05141
selnp;C05172
dad_5;C05198
3dh5hpb;C05200
acetol;C05235
3hhdcoa;C05258
3ohdcoa;C05259
3htdcoa;C05260
3otdcoa;C05261
3hddcoa;C05262
3oddcoa;C05263
3hdcoa;C05264
3odcoa;C05265
3hocoa;C05266
3oocoa;C05267
3hhcoa;C05268
3ohcoa;C05269
hx2coa;C05271
hdd2coa;C05272
td2coa;C05273
dccoa;C05274
dc2coa;C05275
oc2coa;C05276
C05284;C05284
C05298;C05298
C05299;C05299
C05300;C05300
C05301;C05301
C05302;C05302
cholphya;C05306
chlb;C05307
3hph5mb;C05313
peamn;C05332
selmeth;C05335
dcholcoa;C05337
hphaccoa;C05338
f6p_B;C05345
f6p;C05345
2h34hppr;C05350
mndn;C05377
fdp_B;C05378
HC01434;C05379
HC01435;C05381
s7p;C05382
glcur1p;C05385
HC01440;C05394
lac6p;C05396
melt;C05399
epm;C05400
HC01444;C05401
ggl;C05401
6dg;C05402
HC01446;C05403
mnt;C05404
dhdascb;C05422
phdp;C05427
zcarote;C05430
neuspn;C05431
lycop;C05432
acaro;C05433
gcarote;C05435
zymst;C05437
ergtetrol;C05440
HC01459;C05450
tdechola;C05463
tdchola;C05465
gdchola;C05466
din;C05512
